Date,8-day pd,EVI,LSWI
1/1/2000,1,,
1/9/2000,2,,
1/17/2000,3,,
1/25/2000,4,,
2/2/2000,5,,
2/10/2000,6,,
2/18/2000,7,0.254,-0.111
2/26/2000,8,0.211,-0.136
3/5/2000,9,0.231,-0.092
3/13/2000,10,0.17,-0.205
3/21/2000,11,0.187,-0.206
3/29/2000,12,0.217,-0.145
4/6/2000,13,0.203,-0.178
4/14/2000,14,0.256,1.003
4/22/2000,15,0.337,-0.039
4/30/2000,16,0.43,0.117
5/8/2000,17,0.491,1.003
5/16/2000,18,0.512,0.16
5/24/2000,19,0.56,0.216
6/1/2000,20,0.571,0.226
6/9/2000,21,0.55,0.256
6/17/2000,22,0.435,0.143
6/25/2000,23,0.551,0.241
7/3/2000,24,0.615,-1.37
7/11/2000,25,0.606,0.232
7/19/2000,26,0.56,0.235
7/27/2000,27,0.521,0.168
8/4/2000,28,0.448,0.256
8/12/2000,29,0.457,0.149
8/20/2000,30,0.397,0.097
8/28/2000,31,0.355,0.06
9/5/2000,32,0.346,0.05
9/13/2000,33,0.258,-0.002
9/21/2000,34,0.289,-0.002
9/29/2000,35,0.304,0.023
10/7/2000,36,0.255,-0.019
10/15/2000,37,0.189,-0.112
10/23/2000,38,0.117,-0.288
10/31/2000,39,0.151,-0.258
11/8/2000,40,0.125,-0.283
11/16/2000,41,0.122,-0.287
11/24/2000,42,0.135,-0.249
12/2/2000,43,0.122,-0.282
12/10/2000,44,0.035,0.443
12/18/2000,45,0.111,-0.232
12/26/2000,46,0.064,0.392
1/1/2001,1,0.128,-0.228
1/9/2001,2,0.112,-0.255
1/17/2001,3,0.128,-0.244
1/25/2001,4,0.129,-0.249
2/2/2001,5,0.124,-0.253
2/10/2001,6,0.188,-0.123
2/18/2001,7,0.127,-0.178
2/26/2001,8,0.138,-0.254
3/6/2001,9,0.199,-0.166
3/14/2001,10,0.223,-0.154
3/22/2001,11,0.328,0.002
3/30/2001,12,0.175,-0.211
4/7/2001,13,0.178,-0.23
4/15/2001,14,0.274,-0.022
4/23/2001,15,0.287,-0.067
5/1/2001,16,0.343,-0.046
5/9/2001,17,0.431,0.053
5/17/2001,18,0.531,0.206
5/25/2001,19,0.547,0.194
6/2/2001,20,0.53,0.267
6/10/2001,21,0.559,0.227
6/18/2001,22,,
6/26/2001,23,0.365,0.172
7/4/2001,24,0.537,0.195
7/12/2001,25,0.489,0.171
7/20/2001,26,0.48,0.147
7/28/2001,27,0.413,0.097
8/5/2001,28,0.343,0.039
8/13/2001,29,0.279,-0.071
8/21/2001,30,0.238,-0.024
8/29/2001,31,0.174,0.198
9/6/2001,32,0.346,0.012
9/14/2001,33,0.325,-0.002
9/22/2001,34,0.333,-0.005
9/30/2001,35,0.306,-0.04
10/8/2001,36,0.247,-0.121
10/16/2001,37,0.246,-0.129
10/24/2001,38,0.228,-0.141
11/1/2001,39,0.211,-0.162
11/9/2001,40,0.187,-0.223
11/17/2001,41,0.156,-0.251
11/25/2001,42,0.206,-0.185
12/3/2001,43,0.152,-0.269
12/11/2001,44,0.148,-0.258
12/19/2001,45,0.166,-0.244
12/27/2001,46,0.135,-0.199
1/1/2002,1,0.135,-0.199
1/9/2002,2,0.137,-0.28
1/17/2002,3,0.15,-0.248
1/25/2002,4,0.135,-0.293
2/2/2002,5,0.141,-0.239
2/10/2002,6,0.131,-0.273
2/18/2002,7,0.118,-0.257
2/26/2002,8,0.131,-0.269
3/6/2002,9,0.15,-0.252
3/14/2002,10,0.164,-0.224
3/22/2002,11,0.182,0.103
