YEAR,MONTH,DAY,TMAX,TMIN,TAVG,HAVG,VDEF,HDEG,CDEG,WCMN,WSPD,ATOT,RAIN,SAVG,BAVG,TR05,TR25,TR60
2000,1,1,69.04,38.58,53.69,60.74,6.76,11.19,0,31.63,15.82,11.45,0,45.16,46.2,1.8101,1.584,1.5508
2000,1,2,60.58,31.12,48.24,58.04,5.47,19.15,0,25.76,6.21,12.16,0,47.04,48.35,1.8401,1.584,1.5464
2000,1,3,55.06,26.92,40.14,86.71,1.39,24.01,0,12.03,13.38,8.88,0.11,45.64,45.87,1.8145,1.5792,1.542
2000,1,4,44.77,17.64,29.75,64.11,2.28,33.8,0,6.09,11.32,12.77,0.01,41.85,39.53,1.7812,1.5782,1.5392
2000,1,5,53.69,26.63,38.42,48.98,4.76,24.84,0,15.09,15.63,12.38,0,40.03,38.82,1.79,1.5799,1.5392
2000,1,6,53.6,22.12,35.21,72.81,2.59,27.14,0,13.88,8.24,12.15,0,40.08,39.62,1.8021,1.5804,1.5388
2000,1,7,54.63,20.32,37.34,74.73,2.79,27.53,0,12.8,6.1,12.35,0,40.37,40.03,1.8191,1.5804,1.5371
2000,1,8,51.22,39.95,46.06,95.26,0.55,19.41,0,33.15,11.96,3.76,0.13,44.39,44.6,1.6116,1.5841,1.5352
2000,1,9,53.76,30.67,40.52,72.6,2.87,22.78,0,23.28,9.52,12.71,0.01,43.3,42.74,1.5944,1.5828,1.5367
2000,1,10,64.9,31.75,45.12,47.59,6.31,16.67,0,24.01,10.57,10.54,0,41.89,41.25,1.6242,1.5827,1.5356
2000,1,11,58.96,23.79,40.03,61.89,4.33,23.62,0,16.54,6,12.82,0,42.26,42.07,1.6601,1.5842,1.5333
2000,1,12,67.06,36.19,49.6,50.57,7.12,13.38,0,31.01,11.16,12.71,0,43.4,43.66,1.7039,1.587,1.5352
2000,1,13,51.6,26.2,38.84,54.71,4.01,26.1,0,24.26,8.95,12.94,0,43.03,43.37,1.7618,1.5826,1.531
2000,1,14,57.02,18.6,37.8,55.86,4.74,27.19,0,10.88,11.53,12.3,0,40.74,40.56,1.8111,1.5824,1.5295
2000,1,15,66.96,39.46,52.99,57.68,5.83,11.79,0,31.81,16.25,8.21,0,43.75,44.25,1.8414,1.5861,1.5308
2000,1,16,55.22,39.63,46.52,-996,-996,17.58,0,33,7.47,2.42,0,46.45,47.01,1.8367,1.5854,1.5293
2000,1,17,46.6,39.24,42.28,-996,-996,22.08,0,32.57,5.92,2.91,0,45.91,45.69,1.8284,1.5852,1.5283
2000,1,18,49.73,31.7,39.26,88.45,1.2,24.29,0,27.04,6.24,8.68,0,45.27,44.91,1.8382,1.5875,1.5274
2000,1,19,67.21,34.6,47.49,69.14,4.73,14.09,0,25.73,10.99,9.85,0,46.06,46.02,1.8586,1.5919,1.5306
2000,1,20,42.07,20.64,31.45,56.97,2.84,33.64,0,11.84,7.93,12.88,0,44.05,43.69,1.9097,1.5881,1.5253
2000,1,21,52.61,26.42,39.38,53.73,4.26,25.48,0,18.36,12.23,10.73,0,42.8,42.31,1.9529,1.5921,1.5291
2000,1,22,55.6,27.18,40.46,71.47,3.16,23.61,0,17.21,7.33,12.07,0,43.48,43.49,1.9844,1.5969,1.5312
2000,1,23,56.01,21.77,37.75,77.65,2.3,26.11,0,13.8,9.8,12.26,0,43.54,43.73,2.012,1.5941,1.5276
2000,1,24,45.2,11.73,28.89,71.11,2.19,36.53,0,3.58,7.01,11.49,0,40.62,39.86,2.0471,1.595,1.5282
2000,1,25,37.3,25.71,31.2,58.57,2.54,33.5,0,14.12,11.04,11.47,0,40.41,39.79,2.0619,1.5946,1.5238
2000,1,26,30.43,24.87,26.93,86.07,0.78,37.35,0,14.72,7.75,3.65,0,39.5,38.16,2.0725,1.5951,1.5251
2000,1,27,28.75,21.9,25.39,99.74,0.01,39.67,0,15.01,6.81,6.43,0,39.1,36.55,2.0093,1.5964,1.5265
2000,1,28,25.32,20.87,22.61,95.9,0.17,41.91,0,12.37,5.28,8.03,0,38.52,35.8,1.7535,1.6024,1.5276
2000,1,29,33.34,11.34,21.06,86.97,0.63,42.66,0,1.05,3.72,15.29,0,38.13,35.41,1.5988,1.5973,1.5249
2000,1,30,36.72,13.5,24.5,87.2,0.74,39.89,0,7.61,3.29,14.18,0,37.64,35.21,1.5799,1.5966,1.5275
2000,1,31,40.65,11.05,23.8,96.09,0.2,39.15,0,8.19,3.83,12.74,0.28,37,35.02,1.5654,1.5974,1.5285
2000,2,1,26.72,19.81,24.01,99.25,0.03,41.73,0,13.08,5.98,7.56,0,36.52,34.86,1.5398,1.5931,1.5271
2000,2,2,51.76,19.43,34.16,80.43,2.04,29.4,0,11.09,9.29,15.08,0.33,36.54,36.34,1.5431,1.5935,1.5278
2000,2,3,55.22,31.68,43.16,64.57,3.79,21.55,0,24.69,12,-996,0,39.4,39.76,-996,-996,-996
2000,2,4,43.69,19.55,34.43,67.1,2.57,33.38,0,19.09,11.79,15.8,0,39.27,38.97,1.5421,1.5896,1.5185
2000,2,5,48,16.3,32.62,71.47,2.45,32.85,0,9.24,9.14,14.72,0,37.84,36.96,1.5538,1.5885,1.5164
2000,2,6,57.81,30.33,41.32,66.75,3.77,20.93,0,20.68,8.81,11.71,0,39.75,38.92,1.5612,1.5875,1.5154
2000,2,7,63.05,28.44,43.16,66.54,4.82,19.26,0,21.7,7.74,15.88,0,41.47,41.55,1.5668,1.5828,1.5124
2000,2,8,66.49,26.77,46.87,60.55,6.17,18.37,0,21.32,8.87,16.14,0,42.68,43.41,1.5837,1.5863,1.5162
2000,2,9,76.69,43.02,59.04,50.01,10.08,5.14,0,37.57,16.39,12.92,0,46.27,47.71,1.6128,1.5851,1.5151
2000,2,10,70.65,39.18,53.78,52.74,8.2,10.09,0,33.95,8.65,14.7,0,48.6,50.37,1.6831,1.5855,1.5155
2000,2,11,42.63,28.94,36.93,72.05,2.13,29.21,0,19.38,14.4,9.71,0,46.26,47.01,1.7512,1.5824,1.5149
2000,2,12,53.37,18.07,36.62,70.85,2.95,29.28,0,8.46,9.69,16.16,0,43.63,43.61,1.7953,1.5805,1.512
2000,2,13,51.8,31.87,41.15,75.87,2.2,23.17,0,23.85,13.11,8.28,0,44.71,44.89,1.8181,1.5813,1.5128
2000,2,14,54.39,19.8,36.19,70.02,2.96,27.91,0,15.1,6.09,16.03,0,43.48,43.36,1.8573,1.5811,1.5117
2000,2,15,79.16,40.57,55.68,49.28,9.87,5.14,0,33.88,9.61,16.17,0,46.74,47.65,1.9023,1.5851,1.5142
2000,2,16,53.87,33.39,45.04,51.17,5.34,21.37,0,22.81,12.27,15.75,0,46.83,47.89,1.9677,1.5805,1.51
2000,2,17,65.08,39.74,51.73,82.04,2.05,12.59,0,34.58,9.99,4.6,0.06,48.31,49.2,1.943,1.5842,1.5114
2000,2,18,64.42,33.2,41.05,76.88,1.95,16.19,0,23.75,16.76,6.46,0,47.77,47.91,1.9138,1.5788,1.5071
2000,2,19,50.34,27.7,36.51,75.42,2.18,25.98,0,22.6,5.27,15.68,0,45.89,45.79,1.9507,1.5793,1.5031
2000,2,20,62.1,23.98,45.21,64.41,5.32,21.96,0,20.7,8.83,15.87,0,45.68,45.75,2.007,1.5821,1.5054
2000,2,21,69.71,46.28,58.62,61.23,6.77,7,0,41.75,16.38,13.73,0,49.57,50.79,2.0394,1.584,1.505
2000,2,22,68.67,52,59.82,91.37,1.7,4.67,0,-996,19.15,4.33,0.48,52.96,54.28,2.0139,1.5848,1.5052
2000,2,23,71.15,46.4,57.07,74.45,4.81,6.22,0,40.52,14.72,14.63,0,53.04,53.55,1.6834,1.579,1.5031
2000,2,24,74.91,42.07,60,74.13,5.28,6.51,0,36.1,17.09,16.52,0,52.9,53.04,1.7034,1.5842,1.5048
2000,2,25,66.47,45.94,58.59,57.6,7.67,8.79,0,41.93,17.75,18.85,0.58,55.2,55.41,1.5972,1.579,1.4991
2000,2,26,55.96,31.1,45.52,53.84,5.21,21.47,0,26.25,11.03,14.47,0,49.06,47.69,1.5776,1.5753,1.4983
2000,2,27,68.02,27.86,48.1,58.64,6.75,17.06,0,28.51,9.11,19.79,0,47.29,46.7,1.6153,1.5739,1.4936
2000,2,28,70.77,42.04,56.04,52.1,8.6,8.59,0,35.72,18.23,16.97,0,49.65,50.52,1.6778,1.5759,1.4968
2000,2,29,71.71,45.37,57.93,58.62,7.83,6.46,0,40.17,20.07,-996,0,52.94,55.07,1.759,1.5726,1.4918
